score,pocket_id
0.9868593955321945,5NDW_5_8UZ_3852
0.7453825857519789,4V78_BA_FME_3001
0.8175853018372704,5OBM_6_LLL_2169
0.8718626155878468,6HIY_CA_SPM_735
0.9881422924901186,5NDV_1_PAR_3433
0.8567639257294429,5OBM_1_LLL_3997
0.7706422018348623,6QIT_C_J48_101
0.9659239842726082,5OBM_6_LLL_2176
0.9239842726081258,5NDG_5_GET_3851
0.18157894736842106,6E82_A_TFX_102
0.546526867627785,4V72_BA_FME_3001
0.594488188976378,1F1T_A_ROS_101
0.889763779527559,2QEX_0_NEG_8823
0.8833551769331586,5OBM_5_LLL_4164
0.7240473061760841,2G5K_B_AM2_101
0.8584534731323722,5DGV_D_SPS_3401
0.845,2KXM_A_RIO_101
0.9407894736842104,4X4N_B_5GP_102
0.847769028871391,6AZ3_7_PAR_201
0.90956749672346,7NQH_BA_SPM_1793
0.2437745740498034,5J7L_DA_1PE_3185
0.46922024623803005,4K31_B_AM2_101
0.9803407601572739,5NDV_5_PAR_3403
0.618610747051114,7N2V_16_SCM_1602
0.9646133682830931,3C44_B_PAR_24
0.7771952817824377,6CHR_A_SPM_741
0.9345794392523364,1NBK_A_GND_35
0.9722589167767504,7OA3_B_GTP_102
0.9257795344751867,6WZR_A_UG1_106
0.9045020463847203,5OBM_5_LLL_4167
0.9606815203145478,5NDW_1_8UZ_3886
0.9960629921259843,6AZ3_1_PAR_1802
0.0406290956749672,6BSJ_R_TAM_101
0.9803407601572739,5NDV_1_PAR_3414
0.9842726081258191,5LWJ_A_GTP_101
0.8833333333333333,7REX_B_PRF_102
0.7913385826771653,4DR4_A_PAR_1612
0.614010989010989,1BYJ_A_GE3_30
0.8230668414154653,2F4V_A_D2C_1636
0.9855832241153341,2ET5_B_RIO_52
0.8148648648648649,2L8H_A_L8H_2
0.8371428571428572,1TOB_A_TOA_28
0.8193891102257636,6DB8_R_G4A_101
0.9868938401048493,6LAU_A_GTP_103
0.8119999999999999,2MXS_A_PAR_101
0.718421052631579,6E8S_B_SPM_107
0.9605781865965834,5KVJ_A_ARG_101
0.051114023591087854,6XRQ_A_V8A_103
0.7562254259501966,6GZR_A_FH8_101
0.886472148541114,2HOJ_A_TPP_114
0.9134993446920052,5NDV_1_PAR_3405
0.9043250327653998,2QWY_C_SAM_500
0.37449664429530205,5NDV_1_PAR_3404
0.6015727391874182,6QIS_H_J48_101
0.695137976346912,1I97_A_TAC_2005
0.38888888888888884,6OM6_1_KKL_3301
0.7971014492753623,4K31_C_AM2_102
0.9433465085638998,4V53_AA_LLL_2062
0.6990801576872536,4V76_BA_FME_3001
0.4665792922673656,6QIT_D_J48_101
0.4442988204456094,4V70_BA_FME_3001
0.006587615283267456,6QIS_B_J48_101
0.7314439946018894,4V6Y_BA_FME_3001
