,score,metric,decoys,pocket_id
0,0.19391634980988592,MAR,pdb,1BYJ_A_GE3_30
1,0.9904942965779469,MAR,pdb,1F1T_A_ROS_101
2,0.10836501901140688,MAR,pdb,1I97_A_TAC_2005
3,0.6977186311787071,MAR,pdb,1NBK_A_GND_35
4,0.7300380228136882,MAR,pdb,1TOB_A_TOA_28
5,0.8840304182509506,MAR,pdb,1ZZ5_A_CNY_43
6,0.7965779467680609,MAR,pdb,2ET5_B_RIO_52
7,0.2053231939163498,MAR,pdb,2F4V_A_D2C_1636
8,0.9828897338403042,MAR,pdb,2G5K_B_AM2_101
9,0.5700787401574803,MAR,pdb,2HOJ_A_TPP_114
10,0.8384030418250951,MAR,pdb,2KXM_A_RIO_101
11,0.8992395437262357,MAR,pdb,2L8H_A_L8H_2
12,0.935361216730038,MAR,pdb,2MXS_A_PAR_101
13,0.14448669201520914,MAR,pdb,2QEX_0_NEG_8823
14,0.48098859315589354,MAR,pdb,2QWY_C_SAM_500
15,0.9581749049429658,MAR,pdb,3C44_B_PAR_24
16,0.9657794676806084,MAR,pdb,4DR4_A_PAR_1612
17,0.8859315589353612,MAR,pdb,4K31_B_AM2_101
18,0.8821292775665399,MAR,pdb,4K31_C_AM2_102
19,0.9220532319391634,MAR,pdb,4V53_AA_LLL_2062
20,0.0,MAR,pdb,4V6Y_BA_FME_3001
21,0.25285171102661597,MAR,pdb,4V70_BA_FME_3001
22,0.028517110266159718,MAR,pdb,4V72_BA_FME_3001
23,0.01520912547528519,MAR,pdb,4V76_BA_FME_3001
24,0.9448669201520912,MAR,pdb,4V78_BA_FME_3001
25,0.8688212927756654,MAR,pdb,4X4N_B_5GP_102
26,0.32889733840304186,MAR,pdb,5DGV_D_SPS_3401
27,0.8403041825095058,MAR,pdb,5J7L_DA_1PE_3185
28,0.6368821292775665,MAR,pdb,5KVJ_A_ARG_101
29,0.9828897338403042,MAR,pdb,5LWJ_A_GTP_101
30,0.9296577946768061,MAR,pdb,5NDG_5_GET_3851
31,0.23764258555133083,MAR,pdb,5NDV_1_PAR_3404
32,0.9657794676806083,MAR,pdb,5NDV_1_PAR_3405
33,0.935361216730038,MAR,pdb,5NDV_1_PAR_3414
34,0.9505703422053232,MAR,pdb,5NDV_1_PAR_3433
35,0.24714828897338403,MAR,pdb,5NDV_5_PAR_3403
36,0.9600760456273765,MAR,pdb,5NDW_1_8UZ_3886
37,0.9657794676806083,MAR,pdb,5NDW_5_8UZ_3852
38,0.9315589353612167,MAR,pdb,5OBM_1_LLL_3997
39,0.876425855513308,MAR,pdb,5OBM_5_LLL_4164
40,0.9049429657794676,MAR,pdb,5OBM_5_LLL_4167
41,0.8536121673003803,MAR,pdb,5OBM_6_LLL_2169
42,0.7319391634980988,MAR,pdb,5OBM_6_LLL_2176
43,0.23003802281368818,MAR,pdb,6AZ3_1_PAR_1802
44,0.9505703422053232,MAR,pdb,6AZ3_7_PAR_201
45,0.2718631178707224,MAR,pdb,6BSJ_R_TAM_101
46,0.27566539923954375,MAR,pdb,6CHR_A_SPM_741
47,0.2585551330798479,MAR,pdb,6DB8_R_G4A_101
48,0.0038022813688213253,MAR,pdb,6E82_A_TFX_102
49,0.870722433460076,MAR,pdb,6E8S_B_SPM_107
50,0.155893536121673,MAR,pdb,6GZR_A_FH8_101
51,0.5798479087452472,MAR,pdb,6HIY_CA_SPM_735
52,0.9828897338403041,MAR,pdb,6LAU_A_GTP_103
53,0.5874524714828897,MAR,pdb,6OM6_1_KKL_3301
54,0.7775665399239544,MAR,pdb,6QIS_B_J48_101
55,0.1026615969581749,MAR,pdb,6QIS_E_J48_102
56,0.07984790874524716,MAR,pdb,6QIS_H_J48_101
57,0.0874524714828897,MAR,pdb,6QIT_C_J48_101
58,0.08365019011406849,MAR,pdb,6QIT_D_J48_101
59,0.5242656449553,MAR,pdb,6WZR_A_UG1_106
60,0.9828897338403042,MAR,pdb,6XRQ_A_V8A_103
61,0.07984790874524716,MAR,pdb,7N2V_16_SCM_1602
62,0.48479087452471487,MAR,pdb,7NQH_BA_SPM_1793
63,0.9828897338403042,MAR,pdb,7OA3_B_GTP_102
64,0.3735576923076923,MAR,pdb,7REX_B_PRF_102
65,0.7955622236260265,MAR,pdb_chembl,1BYJ_A_GE3_30
66,0.998973468098547,MAR,pdb_chembl,1F1T_A_ROS_101
67,0.5060012634238786,MAR,pdb_chembl,1I97_A_TAC_2005
68,0.9776531901452937,MAR,pdb_chembl,1NBK_A_GND_35
69,0.9808117498420721,MAR,pdb_chembl,1TOB_A_TOA_28
70,0.9922615287428932,MAR,pdb_chembl,1ZZ5_A_CNY_43
71,0.9882343651295009,MAR,pdb_chembl,2ET5_B_RIO_52
72,0.6842229943145925,MAR,pdb_chembl,2F4V_A_D2C_1636
73,0.9992893240682248,MAR,pdb_chembl,2G5K_B_AM2_101
74,0.8054720860351099,MAR,pdb_chembl,2HOJ_A_TPP_114
75,0.9885502210991788,MAR,pdb_chembl,2KXM_A_RIO_101
76,0.84594125078964,MAR,pdb_chembl,2L8H_A_L8H_2
77,0.996367656348705,MAR,pdb_chembl,2MXS_A_PAR_101
78,0.6838281743524952,MAR,pdb_chembl,2QEX_0_NEG_8823
79,0.9250631711939356,MAR,pdb_chembl,2QWY_C_SAM_500
80,0.9973941882501579,MAR,pdb_chembl,3C44_B_PAR_24
81,0.9979469361970942,MAR,pdb_chembl,4DR4_A_PAR_1612
82,0.9948673404927353,MAR,pdb_chembl,4K31_B_AM2_101
83,0.9940777005685407,MAR,pdb_chembl,4K31_C_AM2_102
84,0.9901295009475679,MAR,pdb_chembl,4V53_AA_LLL_2062
85,0.09617814276689829,MAR,pdb_chembl,4V6Y_BA_FME_3001
86,0.2713992419456728,MAR,pdb_chembl,4V70_BA_FME_3001
87,0.325726468730259,MAR,pdb_chembl,4V72_BA_FME_3001
88,0.19148768161718255,MAR,pdb_chembl,4V76_BA_FME_3001
89,0.9582280480101074,MAR,pdb_chembl,4V78_BA_FME_3001
90,0.9869709412507897,MAR,pdb_chembl,4X4N_B_5GP_102
91,0.5889924194567278,MAR,pdb_chembl,5DGV_D_SPS_3401
92,0.9901295009475679,MAR,pdb_chembl,5J7L_DA_1PE_3185
93,0.9691250789639925,MAR,pdb_chembl,5KVJ_A_ARG_101
94,0.9983417561591914,MAR,pdb_chembl,5LWJ_A_GTP_101
95,0.996525584333544,MAR,pdb_chembl,5NDG_5_GET_3851
96,0.7433670246367656,MAR,pdb_chembl,5NDV_1_PAR_3404
97,0.9979469361970942,MAR,pdb_chembl,5NDV_1_PAR_3405
98,0.9963676563487049,MAR,pdb_chembl,5NDV_1_PAR_3414
99,0.9973152242577384,MAR,pdb_chembl,5NDV_1_PAR_3433
100,0.7117814276689829,MAR,pdb_chembl,5NDV_5_PAR_3403
101,0.9973941882501579,MAR,pdb_chembl,5NDW_1_8UZ_3886
102,0.9976310802274163,MAR,pdb_chembl,5NDW_5_8UZ_3852
103,0.9951831964624132,MAR,pdb_chembl,5OBM_1_LLL_3997
104,0.9879185091598233,MAR,pdb_chembl,5OBM_5_LLL_4164
105,0.9882343651295009,MAR,pdb_chembl,5OBM_5_LLL_4167
106,0.9926563487049905,MAR,pdb_chembl,5OBM_6_LLL_2169
107,0.9563329121920404,MAR,pdb_chembl,5OBM_6_LLL_2176
108,0.7350758054327227,MAR,pdb_chembl,6AZ3_1_PAR_1802
109,0.9969993682880607,MAR,pdb_chembl,6AZ3_7_PAR_201
110,0.5510897030953885,MAR,pdb_chembl,6BSJ_R_TAM_101
111,0.8171983575489576,MAR,pdb_chembl,6CHR_A_SPM_741
112,0.7832438408085913,MAR,pdb_chembl,6DB8_R_G4A_101
113,0.18019583070120027,MAR,pdb_chembl,6E82_A_TFX_102
114,0.86773531269741,MAR,pdb_chembl,6E8S_B_SPM_107
115,0.6406348704990524,MAR,pdb_chembl,6GZR_A_FH8_101
116,0.8653663929248263,MAR,pdb_chembl,6HIY_CA_SPM_735
117,0.9983417561591914,MAR,pdb_chembl,6LAU_A_GTP_103
118,0.5754895767530006,MAR,pdb_chembl,6OM6_1_KKL_3301
119,0.770925457991156,MAR,pdb_chembl,6QIS_B_J48_101
120,0.06648768161718255,MAR,pdb_chembl,6QIS_E_J48_102
121,0.31775110549589386,MAR,pdb_chembl,6QIS_H_J48_101
122,0.3543903979785218,MAR,pdb_chembl,6QIT_C_J48_101
123,0.2994314592545799,MAR,pdb_chembl,6QIT_D_J48_101
124,0.7749078462348604,MAR,pdb_chembl,6WZR_A_UG1_106
125,0.9992893240682249,MAR,pdb_chembl,6XRQ_A_V8A_103
126,0.46399241945672776,MAR,pdb_chembl,7N2V_16_SCM_1602
127,0.931538218572331,MAR,pdb_chembl,7NQH_BA_SPM_1793
128,0.9983417561591914,MAR,pdb_chembl,7OA3_B_GTP_102
129,0.8701414125454259,MAR,pdb_chembl,7REX_B_PRF_102
