score,metric,decoys,pocket_id
0.9847908745247149,AuROC,pdb,5NDW_5_8UZ_3852
0.28136882129277563,AuROC,pdb,4V78_BA_FME_3001
0.8669201520912547,AuROC,pdb,5OBM_6_LLL_2169
0.40684410646387836,AuROC,pdb,6HIY_CA_SPM_735
0.6444866920152091,AuROC,pdb,5NDV_1_PAR_3433
0.9315589353612167,AuROC,pdb,5OBM_1_LLL_3997
0.10646387832699622,AuROC,pdb,6QIT_C_J48_101
0.9391634980988594,AuROC,pdb,5OBM_6_LLL_2176
0.973384030418251,AuROC,pdb,5NDG_5_GET_3851
0.07984790874524716,AuROC,pdb,6E82_A_TFX_102
0.13307984790874527,AuROC,pdb,4V72_BA_FME_3001
0.15209125475285168,AuROC,pdb,1F1T_A_ROS_101
0.6730038022813688,AuROC,pdb,2QEX_0_NEG_8823
0.9467680608365019,AuROC,pdb,5OBM_5_LLL_4164
0.9277566539923955,AuROC,pdb,2G5K_B_AM2_101
0.36882129277566544,AuROC,pdb,5DGV_D_SPS_3401
0.7186311787072244,AuROC,pdb,2KXM_A_RIO_101
0.9429657794676806,AuROC,pdb,4X4N_B_5GP_102
0.7395437262357414,AuROC,pdb,6AZ3_7_PAR_201
0.6501901140684411,AuROC,pdb,7NQH_BA_SPM_1793
0.011406844106463865,AuROC,pdb,5J7L_DA_1PE_3185
0.7984790874524714,AuROC,pdb,4K31_B_AM2_101
0.7585551330798479,AuROC,pdb,5NDV_5_PAR_3403
0.09885931558935357,AuROC,pdb,7N2V_16_SCM_1602
0.9828897338403042,AuROC,pdb,3C44_B_PAR_24
0.596958174904943,AuROC,pdb,6CHR_A_SPM_741
0.9581749049429658,AuROC,pdb,1ZZ5_A_CNY_43
0.5475285171102662,AuROC,pdb,1NBK_A_GND_35
0.9923954372623575,AuROC,pdb,7OA3_B_GTP_102
0.5593869731800767,AuROC,pdb,6WZR_A_UG1_106
0.9619771863117871,AuROC,pdb,5OBM_5_LLL_4167
0.9809885931558935,AuROC,pdb,5NDW_1_8UZ_3886
0.8536121673003803,AuROC,pdb,6AZ3_1_PAR_1802
0.0076045627376425395,AuROC,pdb,6BSJ_R_TAM_101
0.7661596958174904,AuROC,pdb,5NDV_1_PAR_3414
0.9885931558935361,AuROC,pdb,5LWJ_A_GTP_101
0.7,AuROC,pdb,7REX_B_PRF_102
0.9752851711026616,AuROC,pdb,4DR4_A_PAR_1612
0.3916349809885932,AuROC,pdb,1BYJ_A_GE3_30
0.6463878326996197,AuROC,pdb,2F4V_A_D2C_1636
0.8935361216730038,AuROC,pdb,2ET5_B_RIO_52
0.311787072243346,AuROC,pdb,2L8H_A_L8H_2
0.6311787072243347,AuROC,pdb,1TOB_A_TOA_28
0.467680608365019,AuROC,pdb,6DB8_R_G4A_101
0.9885931558935361,AuROC,pdb,6LAU_A_GTP_103
0.747148288973384,AuROC,pdb,2MXS_A_PAR_101
0.4106463878326996,AuROC,pdb,6E8S_B_SPM_107
0.7452471482889733,AuROC,pdb,5KVJ_A_ARG_101
0.034220532319391594,AuROC,pdb,6XRQ_A_V8A_103
0.3231939163498099,AuROC,pdb,6GZR_A_FH8_101
0.14448669201520914,AuROC,pdb,6QIS_E_J48_102
0.5854330708661417,AuROC,pdb,2HOJ_A_TPP_114
0.9828897338403041,AuROC,pdb,5NDV_1_PAR_3405
0.688212927756654,AuROC,pdb,2QWY_C_SAM_500
0.9714828897338402,AuROC,pdb,5NDV_1_PAR_3404
0.1026615969581749,AuROC,pdb,6QIS_H_J48_101
0.2395437262357415,AuROC,pdb,1I97_A_TAC_2005
0.3650190114068441,AuROC,pdb,6OM6_1_KKL_3301
0.9049429657794676,AuROC,pdb,4K31_C_AM2_102
0.8174904942965779,AuROC,pdb,4V53_AA_LLL_2062
0.15209125475285168,AuROC,pdb,4V76_BA_FME_3001
0.4828897338403042,AuROC,pdb,6QIT_D_J48_101
0.09125475285171103,AuROC,pdb,4V70_BA_FME_3001
0.44106463878326996,AuROC,pdb,6QIS_B_J48_101
0.10646387832699622,AuROC,pdb,4V6Y_BA_FME_3001
0.9988945041061276,AuROC,pdb_chembl,5NDW_5_8UZ_3852
0.6203411244472521,AuROC,pdb_chembl,4V78_BA_FME_3001
0.9891029690461149,AuROC,pdb_chembl,5OBM_6_LLL_2169
0.8131711939355654,AuROC,pdb_chembl,6HIY_CA_SPM_735
0.8877921667719519,AuROC,pdb_chembl,5NDV_1_PAR_3433
0.9963676563487049,AuROC,pdb_chembl,5OBM_1_LLL_3997
0.43019583070120027,AuROC,pdb_chembl,6QIT_C_J48_101
0.9969993682880606,AuROC,pdb_chembl,5OBM_6_LLL_2176
0.9984207201516109,AuROC,pdb_chembl,5NDG_5_GET_3851
0.46257106759317757,AuROC,pdb_chembl,6E82_A_TFX_102
0.5277953253316487,AuROC,pdb_chembl,4V72_BA_FME_3001
0.5484838913455464,AuROC,pdb_chembl,1F1T_A_ROS_101
0.9692040429564119,AuROC,pdb_chembl,2QEX_0_NEG_8823
0.994472520530638,AuROC,pdb_chembl,5OBM_5_LLL_4164
0.9963676563487049,AuROC,pdb_chembl,2G5K_B_AM2_101
0.806538218572331,AuROC,pdb_chembl,5DGV_D_SPS_3401
0.9662034112444726,AuROC,pdb_chembl,2KXM_A_RIO_101
0.9939987365761214,AuROC,pdb_chembl,4X4N_B_5GP_102
0.9691250789639925,AuROC,pdb_chembl,6AZ3_7_PAR_201
0.9611497157296273,AuROC,pdb_chembl,7NQH_BA_SPM_1793
0.08370183196462411,AuROC,pdb_chembl,5J7L_DA_1PE_3185
0.981680353758686,AuROC,pdb_chembl,4K31_B_AM2_101
0.9774952621604548,AuROC,pdb_chembl,5NDV_5_PAR_3403
0.46683512318382814,AuROC,pdb_chembl,7N2V_16_SCM_1602
0.998973468098547,AuROC,pdb_chembl,3C44_B_PAR_24
0.9071383449147189,AuROC,pdb_chembl,6CHR_A_SPM_741
0.9977890082122552,AuROC,pdb_chembl,1ZZ5_A_CNY_43
0.9003474415666456,AuROC,pdb_chembl,1NBK_A_GND_35
0.9992103600758054,AuROC,pdb_chembl,7OA3_B_GTP_102
0.8912058978409689,AuROC,pdb_chembl,6WZR_A_UG1_106
0.9969993682880607,AuROC,pdb_chembl,5OBM_5_LLL_4167
0.9981048641819331,AuROC,pdb_chembl,5NDW_1_8UZ_3886
0.988076437144662,AuROC,pdb_chembl,6AZ3_1_PAR_1802
0.054327226784586236,AuROC,pdb_chembl,6BSJ_R_TAM_101
0.9730732785849653,AuROC,pdb_chembl,5NDV_1_PAR_3414
0.9992103600758054,AuROC,pdb_chembl,5LWJ_A_GTP_101
0.9448965081371465,AuROC,pdb_chembl,7REX_B_PRF_102
0.9986576121288692,AuROC,pdb_chembl,4DR4_A_PAR_1612
0.8035375868603917,AuROC,pdb_chembl,1BYJ_A_GE3_30
0.961623499684144,AuROC,pdb_chembl,2F4V_A_D2C_1636
0.9941566645609602,AuROC,pdb_chembl,2ET5_B_RIO_52
0.7710044219835754,AuROC,pdb_chembl,2L8H_A_L8H_2
0.9393556538218573,AuROC,pdb_chembl,1TOB_A_TOA_28
0.8837650031585598,AuROC,pdb_chembl,6DB8_R_G4A_101
0.9992103600758054,AuROC,pdb_chembl,6LAU_A_GTP_103
0.9765476942514214,AuROC,pdb_chembl,2MXS_A_PAR_101
0.7927984838913456,AuROC,pdb_chembl,6E8S_B_SPM_107
0.9812065698041692,AuROC,pdb_chembl,5KVJ_A_ARG_101
0.21004421983575494,AuROC,pdb_chembl,6XRQ_A_V8A_103
0.7782691092861654,AuROC,pdb_chembl,6GZR_A_FH8_101
0.5540113708149084,AuROC,pdb_chembl,6QIS_E_J48_102
